disk_total_id,fail_time
5425,10689.315555555555
1034,15523.352222222222
1035,15523.352222222222
6624,3594.9
6625,3594.8972222222224
6744,3166.4325
6650,10263.783055555556
1777,17237.735
4972,17457.601111111115
7035,6466.873333333333
2425,14124.767777777777
6988,15229.434722222222
6989,15229.434444444445
5405,4642.863611111112
1947,9158.886666666667
583,8183.07
1781,7381.975277777778
5433,7810.028888888889
5791,2660.3102777777776
8907,7035.6177777777775
729,9508.24861111111
3481,17376.748333333337
5739,16763.527500000004
3553,7103.888055555555
1783,16072.068611111112
8068,11377.308611111112
2114,7445.186111111111
3487,9130.04888888889
7732,16775.954444444447
7733,16775.938611111113
4357,13448.330833333333
4086,13571.776666666667
3673,16342.90138888889
8643,11916.183055555555
5437,7810.2861111111115
1785,7637.045277777778
3969,9178.320555555556
2433,10510.898333333333
1951,13895.00111111111
1688,9946.629444444445
1689,9946.629444444445
5457,4832.227777777778
8236,15313.367777777778
367,8942.955555555556
9247,12807.5675
9394,13545.761666666667
1953,8898.908611111112
2435,15743.201111111111
678,8824.890833333335
3559,13945.968611111111
1955,8421.924722222224
1955,9184.630277777778
9273,5593.712222222222
6562,1908.0075
3677,13129.83138888889
4736,3132.5002777777777
1789,7652.293611111111
3561,9010.767500000002
4046,4629.831666666667
369,14047.568333333333
6305,14680.326111111111
5392,3762.6405555555557
2439,14081.868055555555
4743,12686.839722222223
8818,15562.701388888889
2035,11183.116944444444
1791,14279.701111111111
5485,7811.958888888889
8243,4798.563888888889
6880,5224.2175
1793,10484.20388888889
591,14221.301111111112
1957,17412.701111111113
8754,8730.156111111111
5075,8128.582222222222
1959,14612.136388888888
6352,16947.434444444447
373,8561.01888888889
6610,14308.367777777778
1961,13970.568333333333
1961,13810.660277777777
8961,16163.434444444445
1795,8041.4075
6232,15320.701111111111
6233,15320.8025
593,10656.238055555556
595,12139.859166666667
8967,14612.40138888889
4605,3453.5594444444446
7076,5420.573333333334
6283,15729.419722222223
3495,11915.236111111111
6472,7912.576944444444
6473,7912.384166666667
5923,6844.022222222222
4031,10636.675
2037,16922.301944444447
5874,3193.168611111111
8398,13579.058333333332
8875,9664.61638888889
3567,8187.519444444444
6501,2607.697222222222
4196,11281.990555555556
4724,13563.105833333333
5447,7810.11
1967,13619.089722222223
4823,13888.40138888889
5085,6307.363888888889
215,12136.477222222222
599,10856.163888888888
2783,6554.517777777778
