disk_total_id,fail_time
4752,15890.025277777779
4933,13396.781944444445
4901,16577.339722222223
4829,15754.083611111111
5117,15835.740277777777
4903,16058.766944444444
1049,5402.939166666667
4653,10689.323888888888
5171,14116.636666666667
5226,15687.786944444444
4940,13622.298888888889
4833,17187.360833333336
5188,14399.120555555555
5192,16853.793333333335
5330,16061.379444444445
1629,2777.7
1630,2387.368611111111
1631,2397.7891666666665
2385,11030.3675
2046,13783.720277777778
2047,13783.720277777778
2048,13783.726388888888
4798,14044.03
802,12213.279444444444
5346,13642.776666666667
5064,10956.125833333334
5351,14042.772222222222
5159,15348.710833333333
172,15828.959722222222
3570,12727.296944444444
2604,11194.967777777778
2605,11194.967777777778
2606,11194.967777777778
5178,14860.906944444445
5179,14860.906944444445
3751,15274.310555555556
3752,15274.301944444445
3750,15274.301944444445
5103,17193.0675
2040,4299.341111111112
5313,10963.359166666667
5198,16084.777222222223
5302,16372.46361111111
2752,12304.294722222223
2908,14560.707222222221
5343,13359.7925
4675,14731.352222222222
4983,12943.685
4710,12508.69
3383,5435.236111111111
593,5079.208333333333
3653,12556.2725
