disk_total_id,fail_time
46,10690.515277777778
94,6430.607222222222
47,10690.514444444445
507,10690.558888888889
509,10690.554722222223
99,6177.607777777778
736,10690.514444444445
49,10690.511388888888
50,10690.508055555556
738,10690.50861111111
740,10690.50111111111
51,10690.500555555556
52,10690.52
741,10690.511388888888
742,10690.511388888888
54,10690.504444444445
744,10690.503888888888
55,10690.5025
745,10690.519166666667
746,10690.502222222221
56,10690.503888888888
747,10690.503333333334
748,10690.5025
57,10690.49111111111
749,10690.505833333333
750,10690.509166666667
58,10690.497777777779
59,10690.489166666666
752,10690.499722222223
753,10690.503888888888
60,10690.505833333333
754,10690.503333333334
61,10690.494444444445
755,10690.52611111111
62,10690.52
521,10690.563055555556
756,10690.512777777778
63,10690.500277777777
758,10690.512222222222
759,10690.5175
760,10690.5275
65,10690.497777777779
66,10690.519444444444
67,10690.518333333333
761,10690.521666666667
68,10690.519444444444
69,10690.494722222222
762,10690.519444444444
527,10690.556111111111
763,10690.52611111111
764,10690.508333333333
70,10690.508055555556
71,10690.522222222222
73,10690.491666666667
74,10690.511388888888
208,8107.936944444445
765,10690.529166666667
536,10690.559166666666
75,10690.485555555555
76,10690.486111111111
766,10690.502222222221
77,10690.508055555556
767,10690.529722222222
768,10690.505833333333
78,10690.5225
79,10690.496388888889
80,10690.510833333334
81,10690.500833333334
771,10690.505833333333
772,10690.502777777778
82,10690.496111111112
83,10690.492222222223
84,10690.521944444445
773,10690.52611111111
546,10690.558888888889
85,10690.509166666667
774,10690.508055555556
775,10690.502222222221
86,10690.488888888889
776,10690.524444444445
777,10690.525
87,10690.524166666666
778,10690.505833333333
88,10690.489722222223
779,10690.5275
780,10690.501666666667
89,10690.502777777778
781,10690.5275
90,10690.499722222223
91,10690.519166666667
